_id,createdAt,isActive,pbrand,pcategory,pdesc,pidealfor,pimage,pmrp,pname,pprice
6410293a82e66dc81547f235,2023-03-03T13:55:11.655Z,TRUE,Huetrap,Tshirts,Typography Print T-shirt,Men,http://assets.myntassets.com/assets/images/productimage/2019/12/12/1aab2a18-6774-4f83-b292-fe301755a3351576102551329-1.jpg,1099,Huetrap Men Beige & Black Typography Printed Susta,299
6410293a82e66dc81547f236,2023-03-03T13:55:11.655+00:01,TRUE,HRX by Hrithik Roshan,SweatShirt,Printed Pure Cotton T-shirt,Men,http://assets.myntassets.com/assets/images/1700871/2020/1/22/f932ae44-0fb8-4b92-b7bc-f1756253294b1579692118186-HRX-by-Hrithik-Roshan-Men-Teal-Blue-Printed-T-shirt-90515796-1.jpg,699,HRX by Hrithik Roshan Men Teal Blue Printed Pure C,350
6410293a82e66dc81547f237,2023-03-03T13:55:11.655+00:02,TRUE,Roadster,Tshirts,Time Travlr Round Neck Pure Cotton T-shirt,Men,http://assets.myntassets.com/assets/images/2499229/2018/4/9/11523274349300-Roadster-Men-Navy-Blue-Solid-Henley-Neck-T-shirt-4911523274349105-1.jpg,499,Roadster Time Travlr Men Black Printed Round Neck ,144
6410293a82e66dc81547f238,2023-03-03T13:55:11.655+00:03,FALSE,Allen Solly,Tshirts,Men Polo Collar T-shirt,Men,http://assets.myntassets.com/assets/images/15400426/2021/9/8/d734631b-68cd-41a3-91e1-12f6c4225f031631088356066AllenSollyMenMaroonPoloCollarT-shirt1.jpg,999,Allen Solly Men Maroon Polo Collar T-shirt,849
6410293a82e66dc81547f239,2023-03-03T13:55:11.655+00:04,TRUE,Difference of Opinion,Tshirts,Men Solid Oversized Cotton,Men,http://assets.myntassets.com/assets/images/16407468/2021/12/28/fce7ca1e-01ec-4c12-a90f-c7b75abda0e01640669480687-Difference-of-Opinion-Men-Tshirts-4021640669480120-1.jpg,1299,Difference of Opinion Men Mint Green Round Neck Dr,467
6410293a82e66dc81547f23a,2023-03-03T13:55:11.655+00:05,TRUE,The Souled Store,Tshirts,Men Archie Printed Loose T-shirt,Men,http://assets.myntassets.com/assets/images/21087914/2022/12/7/12f55f40-d330-43ab-ac90-088ec1b2df411670390353642TheSouledStoreMenWhiteTypographyArchieLooseT-shirt1.jpg,1699,The Souled Store Men Archie Printed Drop-Shoulder ,1049
6410293a82e66dc81547f23b,2023-03-03T13:55:11.655+00:06,TRUE,Urbano Fashion,Tshirts,Slim Tropical Printed Pure Cotton T-shirt,Men,http://assets.myntassets.com/assets/images/12377258/2020/9/11/ce1b7bcb-a65a-4eb0-a317-42ac02718f1e1599798741705UrbanoFashionPrintedMenRoundNeckDarkGreenT-Shirt1.jpg,1099,Urbano Fashion Men Teal Green Slim Fit Tropical Pr,494
6410293a82e66dc81547f23c,2023-03-03T13:55:11.655+00:07,TRUE,HRX by Hrithik Roshan,Tshirts,Rapid Dry Raglan Polo T-shirt,Men,http://assets.myntassets.com/assets/images/2314374/2018/5/2/11525240942451-HRX-by-Hrithik-Roshan-Men-Black-Self-Design-Polo-Collar-T-shirt-1561525240942331-1.jpg,1299,HRX by Hrithik Roshan Men Black Advanced Rapid Dry,389
6410293a82e66dc81547f23d,2023-03-03T13:55:11.655+00:08,TRUE,Louis Philippe Sport,Tshirts,Men Solid Polo Collar T-shirt,Men,http://assets.myntassets.com/assets/images/18221326/2022/6/4/ff043d46-4407-4dc2-8275-c42cd49c1e991654320478408-Louis-Philippe-Sport-Men-Tshirts-7611654320477824-1.jpg,1299,Louis Philippe Sport Men Burgundy Solid Polo Colla,766
6410293a82e66dc81547f23e,2023-03-03T13:55:11.655+00:09,TRUE,Allen Solly,Tshirts,Solid Polo Collar Pure Cotton T-shirt,Men,http://assets.myntassets.com/assets/images/productimage/2019/10/15/bfa5a61f-7f9f-4433-926d-3784530db60b1571079470267-1.jpg,999,Allen Solly Men Black Solid Polo Collar Pure Cotto,489
6410293a82e66dc81547f23f,2023-03-03T13:55:11.655+00:10,TRUE,Allen Solly Tribe,Tshirts,Men Printed Slim Fit T-shirt,Men,http://assets.myntassets.com/assets/images/20927756/2022/11/26/a37b1f22-b03b-471b-a15b-27815707e1551669453596873AllenSollyTribeMenBlackTypographySlimFitT-shirt1.jpg,899,Allen Solly Tribe Men Black Printed Slim Fit T-shi,620
6410293a82e66dc81547f240,2023-03-03T13:55:11.655+00:11,TRUE,H&M,Tshirts,Cotton Pure Cotton T-shirt Regular Fit,Men,http://assets.myntassets.com/assets/images/11468714/2022/2/7/cbdd604f-1341-47a9-92c6-2fe6078e89821644231911509-HM-Men-White-Solid-Cotton-Pure-Cotton-T-shirt-Regular-Fit-42-1.jpg,399,HM Men White Solid Cotton Pure Cotton T-shirt Regu,399
